Win,Month,Day,Year,Weekday,Time,RoadTeam,Locale,HomeTeam,Conference,RoadTeamPoints,OT
0,Feb,8,2016,Mon,7:00 pm/est,Oklahoma State,@,Texas Christian,Big 12,56,
0,Feb,24,2016,Wed,7:00 pm/est,Georgia,@,Auburn,SEC,81,
0,Feb,25,2016,Thu,7:00 pm/est,Florida State,@,Duke (15),ACC,65,
1,Jan,21,2016,Thu,7:00 pm/est,Iowa,@,Rutgers,Big Ten,90,
0,Feb,8,2017,Wed,6:30 pm/est,Mississippi,@,Tennessee,SEC,66,
0,Feb,1,2017,Wed,7:00 pm/est,Marquette,@,St. John's (NY),Big East,72,
0,Jan,30,2016,Sat,4:00 pm/est,Boston College,@,North Carolina (2),ACC,62,
0,Jan,31,2015,Sat,3:15 pm/est,Rutgers,@,Indiana (22),Big Ten,64,
0,Mar,4,2015,Wed,9:00 pm/est,Mississippi State,@,Vanderbilt,SEC,56,
0,Feb,1,2015,Sun,12:30 pm/est,Miami,@,Florida State,ACC,54,
1,Feb,24,2018,Sat,6:00 pm/est,Arkansas,@,Alabama,SEC,76,
0,Jan,10,2015,Sat,12:00 pm/est,Georgetown,@,Providence,Big East,57,OT
0,Jan,23,2018,Tue,9:00 pm/est,Mississippi State,@,Kentucky,SEC,65,
1,Jan,9,2016,Sat,6:00 pm/est,Kentucky,@,Alabama,SEC,77,
0,Dec,30,2017,Sat,4:00 pm/est,Vanderbilt,@,Florida,SEC,74,
1,Feb,17,2018,Sat,8:15 pm/est,North Carolina,@,Louisville,ACC,93,
1,Jan,28,2018,Sun,4:00 pm/est,Seton Hall,@,DePaul,Big East,86,
0,Jan,17,2018,Wed,7:00 pm/est,Auburn,@,Alabama,SEC,71,
0,Feb,24,2016,Wed,9:00 pm/est,Arizona,@,Colorado,Pac-12,72,
0,Jan,15,2017,Sun,12:00 pm/est,Rutgers,@,Indiana,Big Ten,57,
1,Jan,28,2016,Thu,10:00 pm/est,Washington,@,UCLA,Pac-12,86,
0,Feb,7,2018,Wed,11:00 pm/est,California,@,Colorado,Pac-12,64,
0,Jan,7,2017,Sat,1:30 pm/est,Texas A&M,@,South Carolina,SEC,68,
0,Jan,20,2018,Sat,4:00 pm/est,TCU,@,Kansas State,Big 12,68,
0,Feb,25,2017,Sat,6:00 pm/est,Kansas State,@,Oklahoma,Big 12,51,
0,Jan,13,2015,Tue,7:00 pm/est,Michigan,@,Ohio State,Big Ten,52,
1,Jan,5,2016,Tue,7:00 pm/est,Marquette,@,Providence (8),Big East,65,
0,Jan,13,2016,Wed,7:00 pm/est,Duke,@,Clemson,ACC,63,
0,Feb,22,2017,Wed,7:00 pm/est,Pittsburgh,@,Wake Forest,ACC,59,
0,Feb,28,2016,Sun,8:00 pm/est,USC,@,University of California,Pac-12,65,
1,Feb,13,2018,Tue,9:00 pm/est,Michigan State,@,Minnesota,Big Ten,87,
1,Jan,4,2018,Thu,7:00 pm/est,Ohio State,@,Iowa,Big Ten,92,
0,Feb,13,2016,Sat,8:30 pm/est,Texas,@,Iowa State (14),Big 12,75,
0,Jan,14,2017,Sat,2:00 pm/est,Nebraska,@,Michigan,Big Ten,85,
1,Feb,1,2017,Wed,7:00 pm/est,Villanova,@,Providence,Big East,66,
0,Jan,20,2015,Tue,7:00 pm/est,Mississippi,@,Georgia,SEC,64,
1,Feb,13,2016,Sat,6:00 pm/est,Vanderbilt,@,Auburn,SEC,86,
0,Jan,23,2016,Sat,4:00 pm/est,UCLA,@,Oregon,Pac-12,72,
1,Jan,2,2016,Sat,9:00 pm/est,LSU,@,Vanderbilt,SEC,90,
1,Feb,16,2017,Thu,11:00 pm/est,Arizona State,@,Washington,Pac-12,83,
1,Feb,15,2017,Wed,8:00 pm/est,North Carolina,@,North Carolina State,ACC,97,
0,Feb,21,2017,Tue,7:00 pm/est,Clemson,@,Virginia Tech,ACC,70,
1,Feb,10,2015,Tue,9:00 pm/est,Alabama,@,Mississippi State,SEC,55,
1,Feb,20,2018,Tue,9:00 pm/est,Kentucky,@,Arkansas,SEC,87,
0,Feb,21,2015,Sat,2:00 pm/est,Miami,@,Louisville (12),ACC,53,
1,Dec,29,2017,Fri,7:00 pm/est,West Virginia,@,Oklahoma State,Big 12,85,
1,Mar,1,2016,Tue,9:00 pm/est,Indiana,@,Iowa (16),Big Ten,81,
0,Jan,20,2016,Wed,8:30 pm/est,Minnesota,@,Michigan,Big Ten,69,
0,Mar,5,2016,Sat,2:30 pm/est,Marquette,@,Butler,Big East,74,
1,Feb,22,2015,Sun,7:30 pm/est,Michigan State,@,Illinois,Big Ten,60,
0,Feb,16,2015,Mon,9:00 pm/est,Kansas,@,West Virginia (23),Big 12,61,
0,Jan,12,2016,Tue,8:00 pm/est,Texas Tech,@,Kansas State,Big 12,70,
0,Dec,31,2017,Sun,6:00 pm/est,Virginia Tech,@,Syracuse,ACC,56,
0,Mar,4,2015,Wed,9:00 pm/est,TCU,@,Oklahoma State,Big 12,70,
1,Jan,10,2017,Tue,9:00 pm/est,Florida,@,Alabama,SEC,80,
0,Feb,17,2018,Sat,12:00 pm/est,Providence,@,Butler,Big East,54,
0,Jan,8,2015,Thu,9:00 pm/est,Rutgers,@,Nebraska,Big Ten,49,
0,Jan,17,2016,Sun,1:30 pm/est,Michigan State,@,Wisconsin,Big Ten,76,
1,Mar,5,2016,Sat,12:00 pm/est,Seton Hall,@,DePaul,Big East,80,
0,Dec,31,2014,Wed,1:00 pm/est,Penn State,@,Wisconsin (4),Big Ten,72,
1,Jan,28,2015,Wed,9:00 pm/est,Georgia Tech,@,Miami (FL) (23),ACC,70,
0,Feb,18,2017,Sat,8:15 pm/est,Virginia,@,North Carolina (10),ACC,41,
1,Feb,13,2018,Tue,7:00 pm/est,Arkansas,@,Mississippi,SEC,75,
1,Feb,8,2017,Wed,7:00 pm/est,Pittsburgh,@,Boston College,ACC,83,
0,Feb,10,2018,Sat,12:00 pm/est,Butler,@,Villanova (1),Big East,75,
0,Feb,19,2018,Mon,9:00 pm/est,Oklahoma,@,Kansas (8),Big 12,74,
1,Jan,14,2017,Sat,6:00 pm/est,UCLA,@,Utah,Pac-12,83,
1,Feb,25,2015,Wed,9:00 pm/est,Duke,@,Virginia Tech,ACC,91,OT
0,Jan,23,2018,Tue,7:00 pm/est,Oklahoma State,@,Texas Tech (14),Big 12,70,
0,Jan,16,2016,Sat,4:00 pm/est,West Virginia,@,Oklahoma (2),Big 12,68,
0,Jan,30,2016,Sat,2:15 pm/est,Minnesota,@,Indiana (19),Big Ten,68,
0,Feb,17,2016,Wed,9:00 pm/est,Arizona State,@,Arizona (12),Pac-12,61,
1,Feb,7,2017,Tue,9:00 pm/est,Butler,@,Marquette,Big East,68,
1,Mar,8,2015,Sun,7:30 pm/est,Maryland,@,Nebraska,Big Ten,64,
